can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,price_change_hourly_rate,price_change_projections,price_change_locked_until,price_change_calibrating,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,price
True,True,,,500040,0,0,0,0,-3.4,-269,"[{'offset': 0, 'projected_percent': '-4.7', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-11.4', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-18.1', 'likelihood': -1}]",,False,0,2,2.5,2.5,6,Cristhian,6.0,11,False,,,55,500040.jpg,6.0,False,Mosquera,6.2,False,,a,1,3,6,5626,5626,10306,10306,1.1,1.1,Mosquera,,200.0,2025-07-24,2004-06-27,False,p500040,90,0,0,1,0,0,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,6,3,0,6,1,0.00,0.00,0.00,0.20,,,,,,,[],,466.0,184.0,466.0,184.0,466.0,184.0,466.0,184.0,0.0,0.0,0.0,0.0,0.2,0.0,197.0,29.0,53.0,25.0,53.0,25.0,60.0,24.0,1.0,1.0,6.0,Arsenal,5.5
True,True,,,223340,0,0,0,0,7.9,909,"[{'offset': 0, 'projected_percent': '10.5', 'likelihood': 1}, {'offset': 1, 'projected_percent': '23.9', 'likelihood': 2}, {'offset': 2, 'projected_percent': '37.2', 'likelihood': 2}]",,False,0,3,3.2,3.2,9,Bukayo,9.0,12,False,,,95,223340.jpg,9.0,False,Saka,9.9,False,,a,1,3,9,22608,22608,4763,4763,0.9,0.9,Saka,,241.0,2018-11-28,2001-09-05,False,p223340,67,1,0,1,0,0,0,0,0,0,0,1,36,0.0,0.0,0.0,0.0,2,4,1,7,1,0.64,0.08,0.72,0.06,2.0,,2.0,,1.0,,[],,601.0,264.0,601.0,264.0,601.0,264.0,601.0,264.0,0.86,0.0,0.11,0.97,0.08,0.0,3.0,2.0,26.0,13.0,26.0,13.0,43.0,16.0,1.34,1.34,9.4,Arsenal,9.5
True,True,,,204480,0,0,0,0,-8.0,-1301,"[{'offset': 0, 'projected_percent': '-10.2', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-21.2', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-32.3', 'likelihood': -2}]",,False,0,3,2.6,2.6,3,Declan,3.0,13,False,,,75,204480.jpg,3.0,False,Rice,17.9,False,,a,1,3,3,11433,11433,38402,38402,0.4,0.4,Rice,,241.0,2023-07-15,1999-01-14,False,p204480,67,0,0,1,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,3,3,0,6,1,0.07,0.08,0.15,0.06,1.0,,1.0,,,,[],,583.0,254.0,583.0,254.0,583.0,254.0,583.0,254.0,0.09,0.0,0.11,0.2,0.08,0.0,13.0,8.0,99.0,47.0,99.0,47.0,21.0,7.0,1.34,1.34,8.06,Arsenal,7.5
True,True,,,232413,0,0,0,0,-36.8,-517,"[{'offset': 0, 'projected_percent': '-44.5', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-84.0', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-123.4', 'likelihood': -5}]",,False,0,3,2.3,2.3,1,Eberechi,1.0,14,False,,,65,232413.jpg,1.0,False,Eze,2.0,False,,a,1,3,1,1595,1595,13896,13896,0.2,0.2,Eze,,241.0,2025-08-23,1998-06-29,False,p232413,14,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,2,0,2,0,0.04,0.00,0.04,0.15,,,3.0,,,,[],,560.0,236.0,560.0,236.0,560.0,236.0,560.0,236.0,0.26,0.0,0.0,0.26,0.96,0.0,41.0,28.0,258.0,123.0,258.0,123.0,122.0,37.0,0.0,0.0,12.86,Arsenal,6.5
True,True,,,184029,0,0,0,0,40.2,5142,"[{'offset': 0, 'projected_percent': '54.9', 'likelihood': 3}, {'offset': 1, 'projected_percent': '130.4', 'likelihood': 5}, {'offset': 2, 'projected_percent': '205.9', 'likelihood': 5}]",,False,1,3,2.3,2.3,11,Martin,11.0,15,True,,,65,184029.jpg,11.0,False,Ødegaard,9.3,False,,a,1,3,11,80090,80090,5969,5969,1.7,1.7,Ødegaard,,161.0,2021-08-20,1998-12-17,False,p184029,75,1,0,1,0,0,0,0,0,0,0,3,41,0.0,0.0,0.0,0.0,1,4,3,8,1,0.21,0.10,0.31,0.06,4.0,,,,3.0,,[],,554.0,231.0,554.0,231.0,554.0,231.0,554.0,231.0,0.25,0.0,0.12,0.37,0.07,0.0,35.0,23.0,9.0,4.0,9.0,4.0,45.0,17.0,1.2,1.2,9.6,Arsenal,6.5
True,True,,,248857,0,0,0,0,-36.5,-111,"[{'offset': 0, 'projected_percent': '-46.2', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-96.5', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-146.7', 'likelihood': -5}]",,False,0,3,2.3,2.3,1,Noni,1.0,16,False,,,65,248857.jpg,1.0,False,Madueke,0.3,False,,a,1,3,1,337,337,2366,2366,0.2,0.2,Madueke,,241.0,2025-07-18,2002-03-10,False,p248857,22,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0,2,0,2,0,0.00,0.04,0.04,0.15,6.0,,,,,,[],,562.0,238.0,562.0,238.0,562.0,238.0,562.0,238.0,0.0,0.0,0.16,0.16,0.61,0.0,43.0,30.0,259.0,124.0,259.0,124.0,288.0,96.0,0.0,0.0,8.18,Arsenal,6.5
True,True,,,195384,0,0,0,0,-34.9,-222,"[{'offset': 0, 'projected_percent': '-44.7', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-95.1', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-145.5', 'likelihood': -5}]",,False,0,3,2.1,2.1,1,Mikel,1.0,17,False,,,60,195384.jpg,1.0,False,Merino Zazón,0.7,False,,a,1,3,1,908,908,4934,4934,0.2,0.2,Merino,,200.0,2024-08-27,1996-06-22,False,p195384,14,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,2,0,2,0,0.14,0.02,0.16,0.15,,,,,,,[],,502.0,197.0,502.0,197.0,502.0,197.0,502.0,197.0,0.9,0.0,0.13,1.03,0.96,0.0,64.0,42.0,247.0,114.0,247.0,114.0,232.0,77.0,0.0,0.0,12.86,Arsenal,6.0
True,True,,,444145,0,0,0,0,-53.6,-91,"[{'offset': 0, 'projected_percent': '-65.5', 'likelihood': -4}, {'offset': 1, 'projected_percent': '-126.7', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-187.9', 'likelihood': -5}]",,False,0,3,2.3,2.3,0,Gabriel,0.0,18,False,,,65,444145.jpg,0.0,False,Martinelli Silva,0.2,False,,a,1,3,0,391,391,2379,2379,0.0,0.0,Martinelli,Gabriel Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,564.0,240.0,564.0,240.0,564.0,240.0,564.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,32.0,583.0,255.0,583.0,255.0,334.0,117.0,0.0,0.0,0.0,Arsenal,6.5
True,True,,,481655,0,0,0,0,-28.6,-316,"[{'offset': 0, 'projected_percent': '-36.9', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-79.9', 'likelihood': -4}, {'offset': 2, 'projected_percent': '-122.8', 'likelihood': -5}]",,False,0,3,2.0,2.0,1,Martín,1.0,19,False,,,55,481655.jpg,1.0,False,Zubimendi Ibáñez,1.1,False,,a,1,3,1,477,477,6023,6023,0.2,0.2,Zubimendi,,200.0,2025-07-06,1999-02-02,False,p481655,22,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,2,1,3,0,0.00,0.02,0.02,0.15,,,,,,,[],,456.0,170.0,456.0,170.0,456.0,170.0,456.0,170.0,0.0,0.0,0.08,0.08,0.61,0.0,187.0,114.0,234.0,107.0,234.0,107.0,184.0,60.0,0.0,0.0,12.27,Arsenal,5.5
True,True,,,616077,0,0,0,0,-45.2,-32,"[{'offset': 0, 'projected_percent': '-55.3', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-107.4', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-159.4', 'likelihood': -5}]",,False,0,3,2.0,2.0,0,Max,0.0,20,False,,,55,616077.jpg,0.0,False,Dowman,0.1,False,,a,1,3,0,160,160,885,885,0.0,0.0,Dowman,,241.0,2025-07-22,2009-12-31,False,p616077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,490.0,194.0,490.0,194.0,490.0,194.0,490.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,138.0,558.0,240.0,558.0,240.0,428.0,169.0,0.0,0.0,0.0,Arsenal,5.5
True,True,,,499175,0,0,0,0,-42.6,-8,"[{'offset': 0, 'projected_percent': '-58.8', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-142.1', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-225.4', 'likelihood': -5}]",,False,0,3,2.0,2.0,0,Ethan,0.0,22,False,,,55,499175.jpg,0.0,False,Nwaneri,0.0,False,,a,1,3,0,26,26,127,127,0.0,0.0,Nwaneri,,241.0,2022-09-17,2007-03-21,False,p499175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,465.0,177.0,465.0,177.0,465.0,177.0,465.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,121.0,547.0,232.0,547.0,232.0,565.0,239.0,0.0,0.0,0.0,Arsenal,5.5
True,True,,,438098,0,0,0,0,-26.0,0,"[{'offset': 0, 'projected_percent': '-26.0', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-26.0', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-26.0', 'likelihood': -2}]",,False,0,3,2.0,2.0,0,Fábio,0.0,23,False,,,55,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,a,1,3,0,30,30,75,75,0.0,0.0,Fábio Vieira,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,430.0,156.0,430.0,156.0,430.0,156.0,430.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,100.0,534.0,223.0,534.0,223.0,578.0,246.0,0.0,0.0,0.0,Arsenal,5.5
True,True,,,200641,0,0,0,0,-16.8,0,"[{'offset': 0, 'projected_percent': '-16.8', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-16.8', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-16.8', 'likelihood': -1}]",,False,0,3,2.0,2.0,0,Reiss,0.0,24,False,,,55,200641.jpg,0.0,False,Nelson,0.0,False,,a,1,3,0,28,28,57,57,0.0,0.0,Nelson,,241.0,2017-07-12,1999-12-10,False,p200641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,401.0,138.0,401.0,138.0,401.0,138.0,401.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,82.0,521.0,215.0,521.0,215.0,579.0,247.0,0.0,0.0,0.0,Arsenal,5.5
True,True,,,224117,0,0,0,0,-43.3,-2794,"[{'offset': 0, 'projected_percent': '-53.0', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-103.1', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-153.2', 'likelihood': -5}]",,False,0,4,2.4,2.4,0,Viktor,0.0,25,False,,,75,224117.jpg,0.0,False,Gyökeres,8.5,False,,a,1,3,0,2481,2481,64153,64153,0.0,0.0,Gyökeres,,206.0,2025-07-26,1998-06-04,False,p224117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,2.0,,[],,585.0,66.0,585.0,66.0,585.0,66.0,585.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,593.0,68.0,593.0,68.0,49.0,8.0,0.0,0.0,0.0,Arsenal,7.5
True,True,,,219847,0,0,0,0,26.1,2987,"[{'offset': 0, 'projected_percent': '34.6', 'likelihood': 2}, {'offset': 1, 'projected_percent': '78.4', 'likelihood': 4}, {'offset': 2, 'projected_percent': '122.3', 'likelihood': 5}]",,False,0,4,2.4,2.4,6,Kai,6.0,26,False,,,75,219847.jpg,6.0,False,Havertz,6.1,False,,a,1,3,6,52193,52193,5919,5919,0.8,0.8,Havertz,,80.0,2023-06-28,1999-06-11,False,p219847,90,1,0,1,0,0,0,0,0,0,0,0,34,0.0,0.0,0.0,0.0,2,0,0,2,1,0.26,0.03,0.29,0.20,,,,,,,[],,584.0,65.0,584.0,65.0,584.0,65.0,584.0,65.0,0.26,0.0,0.03,0.29,0.2,0.0,14.0,5.0,57.0,3.0,57.0,3.0,61.0,10.0,1.0,1.0,2.0,Arsenal,7.5
True,True,,,205651,0,0,0,0,-30.1,-71,"[{'offset': 0, 'projected_percent': '-36.1', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-67.1', 'likelihood': -4}, {'offset': 2, 'projected_percent': '-98.1', 'likelihood': -5}]",,False,0,4,2.0,2.0,0,Gabriel,0.0,27,False,,,60,205651.jpg,0.0,False,Fernando de Jesus,0.4,False,,a,1,3,0,636,636,2414,2414,0.0,0.0,G.Jesus,Gabriel Jesus,30.0,2022-07-04,1997-04-03,False,p205651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,506.0,49.0,506.0,49.0,506.0,49.0,506.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,17.0,563.0,61.0,563.0,61.0,285.0,51.0,0.0,0.0,0.0,Arsenal,6.0
True,True,,,199798,0,0,0,0,-26.8,-2931,"[{'offset': 0, 'projected_percent': '-33.8', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-69.8', 'likelihood': -4}, {'offset': 2, 'projected_percent': '-105.8', 'likelihood': -5}]",,False,0,2,1.7,1.7,0,Ezri,0.0,31,False,,,45,199798.jpg,0.0,False,Konsa Ngoyo,12.4,False,,a,1,3,0,15356,15356,71820,71820,0.0,0.0,Konsa,,241.0,2026-08-21,1997-10-23,False,p199798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,105.0,70.0,105.0,70.0,105.0,70.0,105.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,97.0,336.0,129.0,336.0,129.0,32.0,11.0,0.0,0.0,0.0,Arsenal,4.5
